Author,Raw_C,Treated_C,Tap_C,Bottle_C,Raw_W,Treated_W,Tap_W,Bottle_W
"Kankanige and Babel, 2020",,,,367.3953976,,,,0.07
"Kankanige and Babel, 2020",,,,473.2550884,,,,0.07
"Kankanige and Babel, 2020",,,,526.1849339,,,,0.07
"Kankanige and Babel, 2020",,,,420.325243,,,,0.07
"Kankanige and Babel, 2020",,,,523.0714135,,,,0.07
"Kankanige and Babel, 2020",,,,442.1198853,,,,0.07
"Kankanige and Babel, 2020",,,,485.7091697,,,,0.07
"Kankanige and Babel, 2020",,,,401.6441211,,,,0.07
"Kankanige and Babel, 2020",,,,367.3953976,,,,0.07
"Oßmann et al., 2018",,,,9317,,,,0.17
"Oßmann et al., 2018",,,,1899,,,,0.17
"Oßmann et al., 2018",,,,1265,,,,0.17
"Oßmann et al., 2018",,,,1446,,,,0.17
"Oßmann et al., 2018",,,,452,,,,0.17
"Oßmann et al., 2018",,,,4158,,,,0.17
"Oßmann et al., 2018",,,,2531,,,,0.17
"Oßmann et al., 2018",,,,5062,,,,0.17
"Oßmann et al., 2018",,,,271,,,,0.17
"Oßmann et al., 2018",,,,90,,,,0.17
"Oßmann et al., 2018",,,,3797,,,,0.17
"Oßmann et al., 2018",,,,6147,,,,0.17
"Oßmann et al., 2018",,,,1808,,,,0.17
"Oßmann et al., 2018",,,,904,,,,0.17
"Oßmann et al., 2018",,,,4700,,,,0.17
"Oßmann et al., 2018",,,,9220,,,,0.17
"Oßmann et al., 2018",,,,11301,,,,0.17
"Oßmann et al., 2018",,,,633,,,,0.17
"Oßmann et al., 2018",,,,16634,,,,0.17
"Oßmann et al., 2018",,,,0,,,,0.17
"Oßmann et al., 2018",,,,723,,,,0.17
"Oßmann et al., 2018",,,,2802,,,,0.17
"Schymanski et al., 2018",,,,37.13810349,,,,0.02
"Schymanski et al., 2018",,,,313.021158,,,,0.02
"Schymanski et al., 2018",,,,29.17993846,,,,0.02
"Zhou et al., 2021",,,,104.070702,,,,0.18
"Zhou et al., 2021",,,,286.1944304,,,,0.18
"Zhou et al., 2021",,,,25.55307415,,,,0.18
"Zhou et al., 2021",,,,71.54860761,,,,0.18
"Zhou et al., 2021",,,,42.92916456,,,,0.18
"Zhou et al., 2021",,,,41.51756728,,,,0.18
"Zhou et al., 2021",,,,190.796287,,,,0.18
"Zhou et al., 2021",,,,106.561756,,,,0.18
"Zhou et al., 2021",,,,96.31543332,,,,0.18
"Zhou et al., 2021",,,,200.3361013,,,,0.18
"Zhou et al., 2021",,,,150.6286476,,,,0.18
"Zhou et al., 2021",,,,71.54860761,,,,0.18
"Zhou et al., 2021",,,,117.0795397,,,,0.18
"Zhou et al., 2021",,,,7.154860761,,,,0.18
"Zhou et al., 2021",,,,27.51869523,,,,0.18
"Zhou et al., 2021",,,,57.23888609,,,,0.18
"Zhou et al., 2021",,,,128.7874937,,,,0.18
"Zhou et al., 2021",,,,64.45820505,,,,0.18
"Zhou et al., 2021",,,,168.0671991,,,,0.18
"Zhou et al., 2021",,,,308.6410524,,,,0.18
"Zhou et al., 2021",,,,234.1590794,,,,0.18
"Zhou et al., 2021",,,,243.2652659,,,,0.18
"Zhou et al., 2021",,,,59.62383967,,,,0.18
"Samandra et al., 2022",,,,15.91633007,,,,0.12
"Samandra et al., 2022",,,,13.26360839,,,,0.12
"Samandra et al., 2022",,,,47.7489902,,,,0.12
"Samandra et al., 2022",,,,37.13810349,,,,0.12
"Samandra et al., 2022",,,,45.09626852,,,,0.12
"Samandra et al., 2022",,,,7.958165033,,,,0.12
"Samandra et al., 2022",,,,0,,,,0.12
"Samandra et al., 2022",,,,7.958165033,,,,0.12
"Samandra et al., 2022",,,,45.09626852,,,,0.12
"Samandra et al., 2022",,,,2.652721678,,,,0.12
"Samandra et al., 2022",,,,13.26360839,,,,0.12
"Samandra et al., 2022",,,,31.83266013,,,,0.12
"Samandra et al., 2022",,,,61.01259859,,,,0.12
"Samandra et al., 2022",,,,21.22177342,,,,0.12
"Samandra et al., 2022",,,,5.305443356,,,,0.12
"Samandra et al., 2022",,,,212.2177342,,,,0.12
"Mason et al., 2018",,,,646.2517547,,,,0.21
"Mason et al., 2018",,,,12290.97677,,,,0.21
"Mason et al., 2018",,,,7039.092563,,,,0.21
"Mason et al., 2018",,,,4380.924968,,,,0.21
"Mason et al., 2018",,,,3025.712394,,,,0.21
"Mason et al., 2018",,,,14389.98853,,,,0.21
"Mason et al., 2018",,,,3699.834844,,,,0.21
"Mason et al., 2018",,,,66.1929021,,,,0.21
"Mason et al., 2018",,,,2863.713975,,,,0.21
"Mason et al., 2018",,,,1295.987346,,,,0.21
"Mason et al., 2018",,,,11947.81883,,,,0.21
"Mason et al., 2018",,,,350.1256138,,,,0.21
"Mason et al., 2018",,,,648.8646325,,,,0.21
"Mason et al., 2018",,,,3428.095562,,,,0.21
"Mason et al., 2018",,,,1012.054635,,,,0.21
"Mason et al., 2018",,,,24562.79244,,,,0.21
"Mason et al., 2018",,,,3559.320087,,,,0.21
"Mason et al., 2018",,,,698.509309,,,,0.21
"Mason et al., 2018",,,,219.481728,,,,0.21
